student_id,grade
1,95
2,88
3,92
4,78
5,85
6,90
7,76
8,91
9,89
10,82
11,94
12,87
13,83
14,88
15,92
16,76
17,85
18,90
19,92
20,88
21,89
22,94
23,78
24,82
25,87
26,83
27,90
28,88
29,76
30,91
31,92
32,85
33,89
34,78
35,92
36,88
37,90
38,76
39,94
40,87
41,82
42,85
43,90
44,88
45,89
46,76
47,92
48,83
49,91
50,78
51,88
52,89
53,94
54,85
55,92
56,90
57,87
58,82
59,89
60,76
61,91
62,78
63,88
64,90
65,83
66,94
67,85
68,92
69,89
70,87
71,82
72,76
73,78
74,91
75,88
76,90
77,83
78,89
79,85
80,92
81,94
82,76
83,87
84,90
85,88
86,78
87,89
88,82
89,91
90,85
91,92
92,76
93,94
94,90
95,83
96,89
97,78
98,87
99,92
100,88
101,85
102,90
103,82
104,76
105,91
106,94
107,87
108,89
109,78
110,90
111,83
112,88
113,85
114,92
115,76
116,91
117,89
118,90
119,87
120,78
121,88
122,82
123,85
124,94
125,76
126,90
127,89
128,83
129,78
130,87
131,92
132,88
133,85
134,89
135,76
136,91
137,94
138,90
139,82
140,87
141,88
142,83
143,78
144,85
145,89
146,92
147,76
148,94
149,90
150,88
151,87
152,89
153,78
154,82
155,91
156,85
157,90
158,88
159,76
160,89
161,83
162,92
163,94
164,87
165,85
166,78
167,89
168,90
169,82
170,88
171,91
172,76
173,94
174,89
175,85
176,87
177,90
178,78
179,92
180,83
181,88
182,76
183,94
184,89
185,85
186,77
187,79
188,74
190,87
191,97
192,70
193,71
194,74
195,83
196,82
197,80
198,93
199,92
200,91





























