No,Faculty#1,Faculty#2,Faculty#3,Faculty#4,Faculty#5,Faculty#6
1,20,15,9,6,17,17
2,17,12,9,8,2,19
3,11,4,13,15,13,15
4,3,20,17,20,1,6
5,11,2,12,3,6,2
6,18,8,12,11,1,12
7,8,20,3,19,10,4
8,16,11,20,20,9,1
9,13,7,12,2,18,19
10,6,6,12,9,14,12
11,17,7,2,17,1,17
12,16,3,5,8,2,2
13,11,18,10,3,16,17
14,2,14,7,15,8,13
15,17,19,10,14,4,6
16,2,15,2,5,8,3
17,11,16,19,7,18,14
18,16,1,10,4,5,4
19,13,5,3,5,1,19
20,19,12,18,18,10,16
21,11,12,14,2,7,10
22,10,19,5,9,5,10
23,13,12,17,17,14,11
24,15,19,20,6,13,20
25,19,6,18,15,9,16
26,8,15,6,9,14,20
27,11,13,7,8,12,18
28,7,7,15,8,15,13
29,8,15,11,9,5,4
30,5,4,6,10,3,18
31,9,9,5,7,7,2
32,2,13,19,19,17,8
33,7,6,9,10,1,18
34,15,13,9,3,12,14
35,1,1,9,9,6,11
36,15,5,6,8,8,9
37,11,11,1,12,6,18
38,5,10,13,2,19,4
39,8,16,14,4,10,18
40,13,13,2,17,12,7
41,1,17,7,20,16,20
42,20,4,14,6,5,13
43,16,16,11,2,13,1
44,2,19,16,5,15,8
45,16,8,10,6,7,18
46,11,2,14,2,1,11
47,15,16,5,1,1,11
48,14,11,13,2,5,5
49,7,3,7,12,2,16
50,13,12,4,16,3,7
51,2,19,14,14,3,16
52,13,1,4,3,9,12
53,17,4,7,4,7,20
54,16,13,5,2,12,3
55,11,18,17,16,2,17
56,4,14,19,14,9,5
57,14,16,18,8,8,9
58,4,1,14,16,5,3
59,12,5,1,11,4,6
60,8,7,15,4,19,19
61,16,2,5,6,10,15
62,18,12,19,5,19,15
63,13,9,17,6,8,11
64,15,8,11,12,8,2
65,7,20,11,1,15,11
66,2,18,1,3,3,14
67,7,7,18,19,1,14
68,8,14,3,2,7,5
69,13,14,10,10,20,1
70,7,14,16,10,17,4
71,13,14,4,9,15,10
72,12,18,3,8,4,17
73,20,19,7,8,19,8
74,12,16,20,2,2,13
75,18,13,1,18,2,19
76,7,19,2,10,5,17
77,11,4,12,16,14,19
78,5,8,9,17,4,10
79,9,1,10,7,12,9
80,13,16,8,14,19,2
81,1,13,18,3,9,11
82,5,3,18,4,12,10
83,11,12,11,12,18,6
84,9,2,11,3,18,14
85,1,4,9,7,19,12
86,8,12,5,5,13,1
87,19,1,20,18,4,1
88,20,15,2,11,19,18
89,15,11,16,1,7,3
90,14,10,15,20,18,7
91,18,11,4,9,19,12
92,9,19,11,14,12,17
93,14,18,14,11,6,10
94,4,6,1,12,15,12
95,3,16,11,19,18,2
96,17,7,8,3,13,10
97,17,10,19,20,2,16
98,3,10,10,7,8,17
99,2,12,13,20,9,1
100,14,6,14,17,7,20
101,1,10,7,19,2,11
102,14,9,12,4,4,15
103,11,1,3,3,12,14
104,12,2,12,7,5,3
105,3,1,11,19,18,7
106,13,14,12,11,8,11
