ID,Sex,Age,Major,Year,Transportation,Campus #1 Score,Campus #2 Score,Campus #3 Score,Campus #4 Score,Campus #5 Score,Campus #6 Score
e2020001,M ,20,Software Engineering,I2,Walk,2,3,0,7,1,9
e2020002,M ,21,Software Engineering,I3,Walk,3,4,6,9,9,9
e2020003,M ,21,Software Engineering,I3,Walk,3,0,9,8,3,6
e2020004,M ,21,Software Engineering,I3,Walk,3,7,9,9,0,4
e2020005,M ,21,Software Engineering,I3,Walk,3,1,8,8,9,2
e2020006,M ,22,Software Engineering,I4,Walk,4,3,3,6,4,8
e2020007,M ,22,Web Developper,I4,Bike,3,8,1,6,1,2
e2020008,F ,22,Web Developper,I4,Bike,3,2,3,5,4,4
e2020009,F ,22,Web Developper,I4,Bike,4,1,9,1,9,1
e2020010,F ,22,Web Developper,I4,Bike,4,7,9,0,8,9
e2020011,M,22,Web Developper,I4,Bike,3,4,5,9,1,7
e2020012,M,22,Web Developper,I4,Bike,4,3,4,4,3,0
e2020013,M,20,Web Developper,I2,Bike,0,7,8,6,2,4
e2020014,M,20,Web Developper,I2,Walk,4,3,0,8,3,5
e2020015,M,20,Web Developper,I2,Walk,0,0,8,6,7,6
e2020016,M,20,Computer Science,I2,Walk,3,4,9,9,9,0
e2020017,M,20,Computer Science,I2,Bike,3,1,6,6,0,6
e2020018,M,20,Computer Science,I2,Bike,1,1,4,9,0,2
e2020019,M,20,Computer Science,I2,Bike,2,3,9,5,0,0
e2020020,M,20,Computer Science,I2,Bike,1,7,4,1,5,6
e2020021,M,20,Computer Science,I2,Bike,0,8,0,2,5,8
e2020022,M,20,Computer Science,I2,Bike,4,1,3,0,0,9
e2020023,M,21,Computer Science,I3,Bike,0,7,2,4,3,5
e2020024,M,21,Computer Science,I3,Bike,0,0,1,0,3,3
e2020025,M,21,Computer Science,I3,Bike,3,3,9,3,8,2
e2020026,M,21,Computer Science,I3,Bike,3,7,8,3,1,9
e2020027,M,21,Computer Science,I3,Bike,0,5,1,4,7,1
e2020028,F,21,Computer Science,I3,Motorbike,0,0,2,8,2,1
e2020029,F,21,Computer Science,I3,Motorbike,1,7,5,5,5,5
e2020030,F,21,Computer Science,I3,Motorbike,2,1,4,3,5,9
e2020031,F,23,Data Science,I5,Motorbike,4,9,9,9,9,4
