student_id	course_id	Course name	enrollement	enrollment_date	grade
10001	MATH101	Computer Science	enrolled	9/1/2021	A
10002	MATH102	Computer Science	enrolled	9/2/2021	B
10003	MATH103	Computer Science	enrolled	9/3/2021	C
10004	MATH104	Computer Science	enrolled	9/4/2021	A
10005	MATH105	Computer Science	enrolled	9/5/2021	B
10006	MATH106	Computer Science	enrolled	9/6/2021	C
10007	MATH107	Computer Science	enrolled	9/7/2021	B
10008	MATH108	Computer Science	enrolled	9/8/2021	A
10009	MATH109	Computer Science	enrolled	9/9/2021	B
10010	MATH110	Computer Science	enrolled	9/10/2021	C
10011	MATH111	Computer Science	enrolled	9/11/2021	A
10012	MATH112	Chemical Engineering	enrolled	9/12/2021	B
10013	MATH113	Chemical Engineering	enrolled	9/13/2021	C
10014	MATH114	Chemical Engineering	enrolled	9/14/2021	B
10015	MATH115	Chemical Engineering	enrolled	9/15/2021	A
10016	MATH116	Chemical Engineering	enrolled	9/16/2021	B
10017	MATH117	Chemical Engineering	enrolled	9/17/2021	C
10018	MATH118	Chemical Engineering	enrolled	9/18/2021	A
10019	MATH119	Chemical Engineering	enrolled	9/19/2021	B
10020	MATH120	Chemical Engineering	enrolled	9/20/2021	A
10021	MATH121	Chemical Engineering	enrolled	9/21/2021	A
10022	MATH122	Chemical Engineering	enrolled	9/22/2021	B
10023	MATH123	Chemical Engineering	enrolled	9/23/2021	C
10024	MATH124	Chemical Engineering	enrolled	9/24/2021	B
10025	MATH125	Software Engineering	enrolled	9/25/2021	A
10026	MATH126	Software Engineering	enrolled	9/26/2021	B
10027	MATH127	Software Engineering	enrolled	9/27/2021	C
10028	MATH128	Software Engineering	enrolled	9/28/2021	B
10029	MATH129	Software Engineering	enrolled	9/29/2021	A
10030	MATH130	Software Engineering	enrolled	9/30/2021	B
10031	MATH131	Software Engineering	enrolled	10/1/2021	C
10032	MATH132	Software Engineering	enrolled	10/2/2021	A
10033	MATH133	Software Engineering	enrolled	10/3/2021	B
10034	MATH134	Software Engineering	enrolled	10/4/2021	C
10035	MATH135	Computer Science	enrolled	10/5/2021	A
10036	MATH136	Computer Science	enrolled	10/6/2021	B
10037	MATH137	Computer Science	enrolled	10/7/2021	C
10038	MATH138	Computer Science	enrolled	10/8/2021	B
10039	MATH139	Computer Science	enrolled	10/9/2021	A
10040	MATH140	Computer Science	enrolled	10/10/2021	B
10041	MATH141	Computer Science	enrolled	10/11/2021	C
10042	MATH142	Computer Science	enrolled	10/12/2021	A
10043	MATH143	Computer Science	enrolled	10/13/2021	B
10044	MATH144	Computer Science	enrolled	10/14/2021	C
10045	MATH145	Computer Science	enrolled	10/15/2021	B
10046	MATH146	Computer Science	enrolled	10/16/2021	A
10047	MATH147	Computer Science	enrolled	10/17/2021	B
10048	MATH148	Computer Science	enrolled	10/18/2021	C
10049	MATH149	Data Science	enrolled	10/19/2021	A
