#Company,Price,Volume,YTD Change,Volume*Price,Total employee,Date
A1,30338.08247,72.77986206,98.8586%,2208001.457,54,1/2/2023
A2,98625.53205,73.58729302,64.0221%,7257585.926,3,1/3/2023
A3,67013.9947,75.81871086,97.7927%,5080914.688,13,1/4/2023
A4,45458.50487,94.88032102,90.9225%,4313117.535,53,1/5/2023
A5,104782.3052,64.68024495,56.5584%,6777345.168,67,1/6/2023
A6,5618.459494,69.94570669,13.8666%,392987.1198,87,1/7/2023
A7,13078.02183,11.66614576,45.2868%,152570.1088,49,1/8/2023
A8,67354.50427,52.68110818,29.3622%,3548309.926,10,1/9/2023
A9,28491.61529,87.50046895,78.3227%,2493029.699,6,1/10/2023
A10,45455.72804,72.40894885,93.2813%,3291401.487,24,1/11/2023
A11,76980.9116,20.44532066,91.6963%,1573899.422,10,1/12/2023
A12,42416.89587,24.40622978,14.6875%,1035236.507,34,1/13/2023
A13,111839.5923,29.2136363,12.6285%,3267241.174,1,1/14/2023
A14,19215.77351,52.73235477,24.1022%,1013292.986,75,1/15/2023
A15,39256.87699,16.02610359,63.2602%,629134.7772,99,1/16/2023
A16,57915.31134,32.50954902,47.0726%,1882800.653,56,1/17/2023
A17,80683.00841,56.25653102,73.7268%,4538946.165,56,1/18/2023
A18,70210.90375,87.51750503,98.1831%,6144683.123,46,1/19/2023
A19,24865.95004,52.0414713,2.5749%,1294060.625,85,1/20/2023
A20,112831.3962,96.05934961,29.1044%,10838510.54,52,1/21/2023
A21,52251.42769,64.06892759,70.4989%,3347692.937,30,1/22/2023
A22,11270.14748,16.78667797,5.3113%,189188.3364,42,1/23/2023
A23,66931.24442,48.64685723,12.2480%,3255994.691,97,1/24/2023
A24,112230.1981,85.08955467,40.8863%,9549617.575,17,1/25/2023
A25,55073.12225,62.93096289,64.8212%,3465804.613,41,1/26/2023
A26,52372.33129,27.87705525,26.0532%,1459986.373,76,1/27/2023
A27,67686.88083,25.31891364,53.5764%,1713758.291,90,1/28/2023
A28,29527.63598,84.36874322,48.3060%,2491209.538,64,1/29/2023
A29,19536.895,89.65633918,13.8658%,1751606.485,61,1/30/2023
A30,107213.6797,85.41384567,60.7090%,9157532.693,59,1/31/2023
A31,57932.28609,88.7448458,22.1872%,5141191.796,18,2/1/2023
A32,37117.77322,58.93767456,0.5454%,2187635.239,46,2/2/2023
A33,72018.21193,72.96396884,49.6317%,5254734.571,92,2/3/2023
A34,7481.88861,32.13919949,92.6375%,240461.9106,68,2/4/2023
A35,111941.7807,64.03205548,81.5667%,7167862.312,88,2/5/2023
A36,48229.96268,85.88038584,51.6306%,4142007.804,28,2/6/2023
A37,89170.20734,48.42737581,77.3458%,4318279.142,10,2/7/2023
A38,25525.14962,7.028043466,95.7311%,179391.861,45,2/8/2023
A39,48962.13115,91.15226391,57.9199%,4463009.1,32,2/9/2023
A40,81460.41679,65.2955529,4.4402%,5319002.954,2,2/10/2023
A41,74168.58537,59.64596845,23.8438%,4423857.103,11,2/11/2023
A42,95268.18984,31.21385707,26.9737%,2973687.661,94,2/12/2023
A43,106408.3921,50.12120231,42.4280%,5333316.548,49,2/13/2023
A44,96134.85644,42.79905204,32.0494%,4114480.724,66,2/14/2023
A45,102340.237,9.203043115,34.6566%,941841.6136,59,2/15/2023
A46,23274.32583,48.43374393,33.0448%,1127262.738,36,2/16/2023
A47,115823.4491,50.47265745,79.1759%,5845917.27,57,2/17/2023
A48,115501.7588,48.29005579,78.6108%,5577586.376,32,2/18/2023
A49,94724.30289,31.37055553,22.4045%,2971554.004,91,2/19/2023
A50,51673.67348,27.37202886,15.1392%,1414413.282,20,2/20/2023
A51,88818.86389,4.691745852,30.3653%,416715.5362,90,2/21/2023
A52,102118.3463,84.01319923,67.9306%,8579288.97,51,2/22/2023
A53,71800.34482,87.68015933,52.9362%,6295465.674,25,2/23/2023
A54,18389.63704,57.22619189,33.3187%,1052368.898,82,2/24/2023
A55,68021.6998,58.72520521,64.6540%,3994588.28,61,2/25/2023
A56,68280.34564,8.973009281,31.6993%,612680.1752,22,2/26/2023
A57,107267.4335,89.28827558,69.2725%,9577724.166,26,2/27/2023
A58,29868.91675,94.11668227,9.2535%,2811163.347,74,2/28/2023
A59,91006.03052,69.16530473,14.8386%,6294459.833,33,3/1/2023
A60,24907.96729,27.48524793,2.6577%,684601.6565,19,3/2/2023
A61,111516.0259,48.96700407,80.0879%,5460605.693,38,3/3/2023
A62,87934.87131,35.68694213,85.3800%,3138126.663,88,3/4/2023
A63,61803.73109,7.831734114,0.2510%,484030.3892,87,3/5/2023
A64,65501.46303,60.61260535,44.6718%,3970214.328,83,3/6/2023
A65,55910.0851,92.59814561,78.5731%,5177170.201,66,3/7/2023
A66,82590.46836,6.308812955,51.3281%,521047.8168,78,3/8/2023
A67,104069.8922,99.0098236,35.1888%,10303941.67,16,3/9/2023
A68,47165.39606,68.49986959,8.3370%,3230823.479,17,3/10/2023
A69,73571.0714,79.99312971,61.9702%,5885180.257,61,3/11/2023
A70,114804.0566,9.390895507,85.9440%,1078112.899,23,3/12/2023
A71,24675.28869,16.73395462,91.1360%,412915.1612,98,3/13/2023
A72,115047.5263,32.44493541,67.9411%,3732709.561,97,3/14/2023
A73,96554.20902,86.49777252,17.8022%,8351724.008,19,3/15/2023
A74,60096.95391,79.74837083,49.3151%,4792634.166,64,3/16/2023
A75,35686.17698,2.647377614,2.7687%,94474.78607,64,3/17/2023
A76,41349.16384,43.62425669,3.2276%,1803826.537,89,3/18/2023
A77,59836.23097,25.4053095,8.1837%,1520157.967,6,3/19/2023
A78,29063.14125,89.21174338,84.9084%,2592773.499,68,3/20/2023
A79,67322.15704,56.22102881,76.5891%,3784920.931,99,3/21/2023
A80,99066.73556,19.43795925,30.9309%,1925655.169,90,3/22/2023
A81,47989.16322,97.72764657,9.6091%,4689867.982,29,3/23/2023
A82,20441.57098,66.54340629,73.3603%,1360251.763,5,3/24/2023
A83,84171.03066,56.27506795,0.5355%,4736730.47,44,3/25/2023
A84,6773.508795,39.66218856,43.7189%,268652.183,19,3/26/2023
A85,50380.61208,64.65630813,30.0542%,3257424.379,3,3/27/2023
A86,87674.62801,8.131775207,58.7840%,712950.3664,44,3/28/2023
A87,34929.25579,48.97767385,16.0227%,1710753.698,83,3/29/2023
A88,106065.6521,47.69668642,96.3455%,5058980.146,4,3/30/2023
A89,53652.41504,32.49139612,13.8043%,1743241.87,48,3/31/2023
A90,100658.1329,72.46841405,45.2796%,7294535.254,61,4/1/2023
A91,112702.6162,0.403134155,20.8409%,45434.27394,32,4/2/2023
A92,67995.77093,15.54486716,14.7083%,1056985.227,62,4/3/2023
A93,8712.353093,17.23347729,66.4134%,150144.1392,27,4/4/2023
A94,4550.659606,70.21399298,18.2681%,319519.9816,15,4/5/2023
A95,47789.28075,38.56039707,4.7985%,1842773.642,3,4/6/2023
A96,74966.50917,78.31981964,37.9128%,5871363.477,3,4/7/2023
A97,87840.51864,82.53887913,39.5934%,7250257.951,43,4/8/2023
A98,92059.21741,96.77122805,17.0037%,8908683.523,12,4/9/2023
A99,75505.56798,2.513850918,34.4585%,189809.7414,89,4/10/2023
A100,79832.32975,47.18677128,52.4733%,3767029.885,28,4/11/2023
A101,98152.1073,77.89851214,88.1119%,7645903.122,19,4/12/2023
A102,114856.0195,54.55195931,39.9994%,6265620.904,77,4/13/2023
A103,96020.62177,16.2384921,27.5282%,1559230.108,25,4/14/2023
A104,41092.32909,3.726430196,67.1887%,153127.696,58,4/15/2023
A105,59939.83931,52.21152767,62.1471%,3129550.579,80,4/16/2023
A106,31814.82389,56.35921781,26.1489%,1793058.589,9,4/17/2023
A107,47508.18119,66.67545104,54.7705%,3167629.409,23,4/18/2023
A108,58204.50461,67.3867079,49.6873%,3922209.951,41,4/19/2023
A109,95537.78768,51.25178046,54.1119%,4896481.719,19,4/20/2023
A110,1775.893385,29.95309617,70.3540%,53193.50533,1,4/21/2023
A111,118899.4053,48.68306158,22.7087%,5788387.068,83,4/22/2023
A112,46920.49786,35.50625097,42.4458%,1665970.973,86,4/23/2023
A113,84966.72808,73.48644012,44.3289%,6243902.376,48,4/24/2023
A114,92091.04194,86.71252311,82.7326%,7985446.603,53,4/25/2023
A115,11441.03966,73.47948173,69.5369%,840681.6648,24,4/26/2023
A116,31204.86694,2.350558151,30.3966%,73348.85434,96,4/27/2023
A117,90584.99424,21.794744,36.3251%,1974276.76,46,4/28/2023
A118,85346.15034,4.162551986,89.2017%,355257.7876,32,4/29/2023
A119,102764.894,32.77639223,60.3418%,3368262.474,73,4/30/2023
A120,57380.23835,37.77042924,45.0882%,2167276.232,43,5/1/2023
A121,31405.92877,82.98531939,16.3361%,2606231.03,24,5/2/2023
A122,45849.2271,30.05965397,96.5828%,1378211.901,38,5/3/2023
A123,50995.1216,31.65793191,92.4233%,1614400.087,76,5/4/2023
A124,25115.54507,40.89415774,5.3523%,1027079.062,49,5/5/2023
A125,20287.06838,15.32907799,43.8716%,310982.0534,15,5/6/2023
A126,65333.24509,14.392327,31.2150%,940297.4271,49,5/7/2023
