Year,State,Income($),Percent_Total,Num_Households
0,California,9917.70,51.93,754661
1,California,45188.74,73.28%,84641
2,California,56635.73,88.93%,593092
3,California,60734.84,16.05%,520452
4,California,11771.36,31.41%,354861
5,California,57151.44,51.78%,666259
6,California,2698.38,26.99%,887496
7,California,70296.07,57.35%,775763
8,California,15918.47,95.74%,463103
9,California,17301.30,62.89%,135263
10,California,121074.85,24.04%,378396
11,California,37857.64,13.37%,424617
12,California,106042.05,93.51%,539430
13,California,10210.25,81.46%,921213
14,California,26554.76,4.34%,11201
15,California,97160.86,36.17%,455494
16,California,122045.32,12.34%,903656
17,California,4664.37,83.32%,370215
18,California,22705.18,24.29%,476418
19,California,4561.30,20.83%,679118
20,California,68783.87,46.94%,987541
21,California,36889.89,92.25%,325498
22,California,13711.24,52.86%,362804
23,California,86398.87,90.53%,980037
24,California,14334.66,17.05%,766177
25,California,63087.46,44.82%,691918
26,California,24172.22,48.72%,212678
27,California,7435.21,12.89%,890551
28,California,50587.24,45.74%,80123
29,California,76856.55,70.88%,186887
30,California,112227.97,67.95%,386756
31,California,96491.81,47.84%,961737
32,California,18889.80,23.21%,866612
33,California,98960.71,6.86%,456632
34,California,63821.78,82.54%,891343
35,California,118098.55,38.89%,597226
36,California,121488.08,95.96%,227170
37,California,67002.39,35.93%,749763
38,California,75129.61,81.69%,584110
39,California,39950.99,14.31%,278599
40,California,122075.02,27.78%,948946
41,California,58089.38,50.89%,437638
42,California,53724.18,76.46%,151647
43,California,65689.99,29.48%,638458
44,California,33263.62,62.72%,692115
45,California,31437.88,79.75%,76939
46,California,42857.31,44.58%,478291
47,California,16902.09,70.87%,205486
48,California,30910.13,57.75%,291273
49,California,60396.41,39.30%,370459
50,California,119650.75,19.62%,29576
51,California,83688.92,87.06%,786858
52,California,1274.55,74.21%,769607
53,California,78709.20,64.03%,212045
54,California,90670.88,34.47%,73394
55,California,53013.91,72.52%,826596
56,California,100289.42,35.62%,842515
57,California,108999.63,93.27%,355375
58,California,19507.07,12.49%,130266
59,California,17387.54,90.92%,982180
60,California,55096.28,49.75%,639501
61,California,103998.52,1.26%,1907
62,California,685.39,81.69%,517432
63,California,39889.05,87.76%,850370
64,California,31138.18,81.75%,590161
65,California,96826.29,52.86%,36772
66,California,118584.69,31.76%,12390
67,California,57912.87,54.17%,139711
68,California,58288.91,11.44%,193363
69,California,27484.86,11.67%,630431
70,California,120551.95,92.83%,456097
71,California,9221.55,24.69%,212623
72,California,26174.70,5.30%,254960
73,California,63941.32,46.45%,352654
74,California,46578.42,76.37%,323721
75,California,15584.11,49.83%,817424
76,California,75940.47,60.47%,829702
77,California,82680.74,27.49%,510947
78,California,21982.81,80.96%,599228
79,California,25381.78,89.39%,567211
80,California,3098.15,95.01%,961845
81,California,64942.94,42.52%,949702
82,California,17026.63,51.13%,589553
83,California,123393.80,90.37%,213092
84,California,89546.21,24.43%,804492
85,California,89479.77,80.41%,557801
86,California,24564.06,7.35%,474662
87,California,10109.09,77.73%,626891
88,California,51913.05,61.57%,450538
89,California,11803.00,52.16%,723981
90,California,54325.08,98.17%,125502
91,California,108830.52,74.28%,757251
92,California,104941.53,51.31%,808270
93,California,113979.27,15.47%,930073
94,California,72204.42,88.27%,504024
95,California,100176.66,55.24%,370240
96,California,50329.78,49.22%,893085
97,California,51800.86,19.42%,252798
98,California,100357.02,10.29%,471952
99,California,36843.87,38.43%,352959
100,California,26351.16,20.50%,29095
101,California,100787.84,39.89%,121872
102,California,77611.30,0.93%,368959
103,California,36842.86,84.95%,495765
104,California,59783.51,52.74%,90834
105,California,85335.57,16.54%,4461
106,California,68846.57,37.59%,666086
107,California,37497.54,67.99%,897617
108,California,83614.76,47.83%,248718
109,California,29017.99,29.22%,593260
110,California,59419.83,37.01%,245354
111,California,9806.77,19.29%,81048
112,California,117354.25,10.91%,298532
113,California,84452.45,9.83%,605367
114,California,47337.70,1.99%,538014
115,California,172.60,67.20%,147255
116,California,99996.53,58.93%,341618
117,California,60679.23,83.26%,480933
118,California,111656.57,47.81%,901868
119,California,17640.35,74.08%,902836
120,California,90300.97,8.19%,804360
121,California,95904.68,22.47%,541170
122,California,107247.26,37.21%,102848
123,California,118007.47,11.33%,55989
124,California,104564.95,75.90%,685084
125,California,97089.09,3.64%,337071
126,California,91617.95,73.36%,443905
127,California,75744.97,98.09%,998940
128,California,96558.24,60.50%,844764
129,California,96705.18,42.73%,201738
130,California,54475.82,12.33%,396113
131,California,24637.94,62.00%,351057
132,California,29649.59,21.36%,798752
133,California,37548.43,3.18%,132096
134,California,88798.86,60.56%,124928
135,California,62406.07,8.17%,105156
136,California,8247.50,85.90%,937482
137,California,23561.50,48.37%,640077
138,California,65801.59,73.81%,402191
139,California,105395.45,65.87%,647815
140,California,61845.47,3.74%,707622
141,California,58707.05,99.87%,521119
142,California,65740.53,47.96%,408578
143,California,10862.25,56.70%,187530
144,California,5860.37,2.25%,12849
145,California,38243.28,24.31%,897181
146,California,24891.74,67.36%,328760
147,California,32184.08,50.50%,398215
148,California,50140.31,27.01%,764212
149,California,17100.75,48.59%,302938
150,California,122299.62,41.45%,454017
151,California,51628.23,57.14%,421848
152,California,46890.81,39.90%,401313
153,California,18470.42,59.65%,615247
154,California,60987.44,37.65%,4887
155,California,119742.39,1.97%,90971
156,California,15450.96,76.63%,979445
157,California,17158.72,41.55%,321045
158,California,4838.31,83.17%,119360
159,California,28889.58,56.45%,932914
160,California,36838.47,34.84%,273440
161,California,75430.25,13.08%,728819
162,California,83566.71,32.08%,114768
163,California,84980.09,9.69%,91469
164,California,123094.62,33.94%,743695
165,California,119723.61,79.61%,404170
166,California,29165.49,22.89%,597578
167,California,65237.22,82.32%,927474
168,California,112506.88,42.49%,379490
169,California,53775.27,10.63%,77344
170,California,94415.46,51.60%,366009
171,California,43621.40,7.81%,554803
172,California,90576.78,69.07%,387081
173,California,74279.86,23.09%,272087
