Date,State,Goods_Exports,Goods_Imports,Services_Exports,Services_Imports,Total_exports,Total_imports,Two_way_trade
1/1/2018,California,0.00,0.03,0.08,0.00,0.08,0.03,0.11
1/2/2018,California,611.17,314.20,109.05,193.18,720.22,507.38,1227.60
1/3/2018,California,0.52,0.21,0.88,5.92,1.40,6.14,7.54
1/4/2018,California,0.94,0.03,0.16,0.23,1.10,0.26,1.36
1/5/2018,California,0.00,0.01,0.26,0.05,0.26,0.05,0.32
1/6/2018,California,0.49,0.17,0.27,0.34,0.76,0.51,1.27
1/7/2018,California,19.25,0.04,0.18,0.12,19.44,0.16,19.60
1/8/2018,California,3.04,0.26,0.00,0.00,3.04,0.26,3.30
1/9/2018,California,32.75,0.00,0.20,0.40,32.95,0.40,33.35
1/10/2018,California,0.21,0.07,1.01,0.31,1.22,0.38,1.60
1/11/2018,California,23.63,151.75,37.82,18.02,61.45,169.77,231.22
1/12/2018,California,23.63,151.75,37.82,18.02,61.45,169.77,231.22
1/13/2018,California,16.95,148.16,20.49,27.22,37.44,175.38,212.81
1/14/2018,California,9908.10,6872.13,4402.39,5225.28,14310.50,12097.40,26407.90
1/15/2018,California,1.09,0.03,0.16,0.07,1.24,0.10,1.34
1/16/2018,California,75.23,0.14,0.31,0.36,75.55,0.50,76.05
1/17/2018,California,0.00,0.44,0.00,0.08,0.00,0.52,0.52
1/18/2018,California,24.48,0.33,0.59,2.59,25.08,2.93,28.01
1/19/2018,California,138.04,47.47,1.32,1.94,139.36,49.41,188.77
1/20/2018,California,334.06,268.57,24.77,41.99,358.83,310.56,669.39
1/21/2018,California,0.76,0.03,0.12,0.09,0.89,0.12,1.01
1/22/2018,California,7.57,11.09,1.36,0.86,8.93,11.95,20.88
1/23/2018,California,55.48,16.33,1.79,0.71,57.27,17.03,74.31
1/24/2018,California,0.05,0.03,0.04,0.04,0.09,0.07,0.16
1/25/2018,California,2.52,0.00,0.00,0.08,2.52,0.08,2.60
1/26/2018,California,53.31,0.00,3.66,42.81,56.97,42.81,99.78
1/27/2018,California,5.82,1178.15,8.94,17.77,14.76,1195.92,1210.68
1/28/2018,California,0.68,2.02,0.23,0.41,0.91,2.43,3.34
1/29/2018,California,81.14,107.98,120.49,12.58,201.64,120.56,322.20
1/30/2018,California,3.49,0.00,3.41,0.06,6.90,0.07,6.97
1/31/2018,California,0.10,0.01,0.08,0.21,0.18,0.22,0.40
2/1/2018,California,0.08,0.00,0.25,0.56,0.33,0.56,0.89
2/2/2018,California,0.64,0.39,0.28,0.05,0.92,0.45,1.36
2/3/2018,California,0.48,0.02,0.26,0.26,0.74,0.28,1.01
2/4/2018,California,565.10,541.32,246.14,104.10,811.24,645.42,1456.66
2/5/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2/6/2018,California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2/7/2018,California,0.00,0.02,0.61,0.00,0.61,0.02,0.63
2/8/2018,California,0.45,0.00,0.13,0.05,0.58,0.05,0.63
2/9/2018,California,75.64,309.33,185.02,193.25,260.66,502.58,763.24
2/10/2018,California,9.06,0.02,0.03,0.14,9.09,0.16,9.25
2/11/2018,California,98.93,0.52,41.32,152.57,140.25,153.09,293.34
2/12/2018,California,76.61,56.96,41.97,9.97,118.58,66.93,185.51
2/13/2018,California,20.80,0.81,0.42,0.11,21.22,0.92,22.14
2/14/2018,California,13.29,18.86,18.59,1.01,31.88,19.87,51.74
2/15/2018,California,13.29,18.86,18.59,1.01,31.88,19.87,51.74
2/16/2018,California,5.11,11.20,0.94,3.85,6.05,15.05,21.10
