year,ip_address,region,migration,age ,population
1500,221.3966801,2,FALSE,37,6771
1501,185.4961803,2,FALSE,35,6919
1502,227.4837524,4,TRUE,45,7631
1503,153.2951353,3,TRUE,46,5222
1504,56.69884158,1,TRUE,33,335
1505,187.2685498,4,FALSE,24,2879
1506,41.33105432,2,FALSE,43,1335
1507,54.66355978,3,TRUE,66,4168
1508,155.423171,1,TRUE,51,5248
1509,75.92444129,1,TRUE,47,5159
1510,115.1201461,3,TRUE,44,8914
1511,110.3715381,1,TRUE,33,4024
1512,173.7837739,2,FALSE,32,2087
1513,69.65472982,3,TRUE,48,5531
1514,207.8283168,4,TRUE,34,5627
1515,188.7794374,3,FALSE,43,7750
1516,75.57687106,1,TRUE,20,659
1517,42.09314247,3,TRUE,43,299
1518,7.2843681,4,FALSE,35,676
1519,13.1940912,4,FALSE,58,4595
1520,238.6286325,4,FALSE,37,1610
1521,98.60390047,3,FALSE,49,7775
1522,52.1603759,1,TRUE,55,1522
1523,54.6090928,1,TRUE,31,3958
1524,16.73429454,4,TRUE,53,2279
1525,129.8889416,4,TRUE,21,1599
1526,184.2797799,2,FALSE,42,8854
1527,133.6333093,4,TRUE,40,177
1528,177.3466422,3,TRUE,31,5872
1529,81.28877704,4,FALSE,28,2054
1530,106.6918782,1,TRUE,59,1602
1531,237.1811072,4,TRUE,41,3770
1532,179.2191194,3,TRUE,74,4460
1533,88.30032184,3,TRUE,49,8945
1534,124.4939545,3,TRUE,55,2280
1535,91.22146482,3,TRUE,40,7953
1536,220.6280305,3,TRUE,66,6896
1537,35.46185157,4,TRUE,19,1386
1538,87.53267895,2,FALSE,43,6500
1539,168.9669487,3,FALSE,20,7258
1540,239.6448992,2,FALSE,54,2928
1541,27.97378671,2,FALSE,55,2178
1542,82.23888895,3,FALSE,57,4787
1543,195.608125,3,FALSE,44,4996
1544,27.95352042,4,TRUE,30,5387
1545,79.97198704,4,TRUE,46,1421
1546,31.1987335,3,FALSE,27,7679
1547,146.6177607,4,TRUE,20,8362
1548,51.40060527,4,FALSE,57,9476
1549,214.1258921,4,TRUE,51,7573
1550,46.18455484,4,FALSE,30,5959
1551,179.0085417,2,FALSE,74,4573
