date,visitors,bounce_rate,session_duration
1/1/2022,709.0893,0.5017,191.0103
1/2/2022,793.2551,0.6662,219.6368
1/3/2022,621.0244,0.6616,138.0543
1/4/2022,730.6615,0.6927,164.7984
1/5/2022,711.0188,0.6483,168.6464
1/6/2022,566.8407,0.6428,218.0081
1/7/2022,806.6989,0.7903,191.6573
1/8/2022,163.6578,0.7504,181.7270
1/9/2022,803.8388,0.5076,229.9414
1/10/2022,786.9589,0.7220,150.5767
1/11/2022,402.9740,0.7124,169.5171
1/12/2022,503.5182,0.5651,208.7339
1/13/2022,940.0225,0.7186,150.3913
1/14/2022,631.6492,0.7340,226.1730
1/15/2022,302.3989,0.6676,121.7170
1/16/2022,105.1718,0.6428,198.7022
1/17/2022,477.8569,0.6057,164.8902
1/18/2022,580.0120,0.5021,145.8425
1/19/2022,347.1714,0.6221,178.8793
1/20/2022,331.0156,0.5771,154.1017
1/21/2022,492.8399,0.7478,156.4485
1/22/2022,916.1938,0.5041,196.0315
1/23/2022,134.5328,0.6588,197.3332
1/24/2022,936.2921,0.5361,218.0177
1/25/2022,969.7625,0.7600,192.5025
1/26/2022,903.9375,0.5801,201.7034
1/27/2022,946.7175,0.5809,152.4535
1/28/2022,523.0253,0.5227,162.3908
1/29/2022,828.7090,0.6878,203.9515
1/30/2022,194.4213,0.7946,191.9572
1/31/2022,722.4142,0.6674,130.2153
2/1/2022,567.5618,0.7168,146.2482
2/2/2022,520.4511,0.5887,162.8894
2/3/2022,102.7744,0.7942,214.4807
2/4/2022,793.0940,0.7752,202.7319
2/5/2022,812.0855,0.5625,138.7744
2/6/2022,436.8528,0.6023,188.3166
2/7/2022,500.4340,0.7252,218.5745
2/8/2022,925.3866,0.6452,163.3340
2/9/2022,573.8047,0.6393,209.0123
2/10/2022,780.2053,0.6104,231.4691
2/11/2022,259.0409,0.6629,147.6973
2/12/2022,583.5584,0.6782,133.1245
2/13/2022,763.6048,0.6088,157.8698
2/14/2022,799.9452,0.6906,177.5564
2/15/2022,374.8537,0.5071,135.4756
2/16/2022,612.9743,0.6511,165.5131
2/17/2022,258.3886,0.7268,152.9820
2/18/2022,441.0093,0.5474,206.5049
2/19/2022,508.1808,0.6519,203.9337
2/20/2022,887.1149,0.7135,168.8213
2/21/2022,868.9898,0.5231,141.7055
2/22/2022,660.0058,0.5772,192.2420
2/23/2022,967.2463,0.5074,173.0883
2/24/2022,809.2224,0.7128,147.2935
2/25/2022,264.1491,0.5437,198.6554
2/26/2022,425.6649,0.7055,208.6401
2/27/2022,347.2885,0.6244,238.0825
2/28/2022,290.4013,0.6185,113.5682
3/1/2022,860.8830,0.6762,161.4034
3/2/2022,302.0976,0.7097,166.7769
3/3/2022,409.3426,0.6747,201.2941
3/4/2022,881.6712,0.7912,121.6819
3/5/2022,930.0236,0.7644,156.1803
3/6/2022,535.8569,0.7294,168.1358
3/7/2022,799.4155,0.7185,217.3795
3/8/2022,724.5369,0.7539,203.0410
3/9/2022,611.4560,0.7096,219.0153
3/10/2022,539.8485,0.6241,129.5451
3/11/2022,397.4245,0.6734,193.9670
3/12/2022,826.5972,0.7642,193.7152
3/13/2022,263.4271,0.7081,204.5167
3/14/2022,415.8798,0.6863,216.9671
3/15/2022,804.2600,0.6021,197.9411
3/16/2022,208.1463,0.5019,159.3800
3/17/2022,722.1743,0.6301,154.5835
3/18/2022,485.7473,0.7326,173.0783
3/19/2022,498.7263,0.6419,155.3399
3/20/2022,401.0443,0.6141,158.2864
3/21/2022,893.3146,0.5371,209.3452
3/22/2022,471.5838,0.6929,154.8446
3/23/2022,266.4842,0.6628,184.5430
3/24/2022,845.5026,0.5963,159.7861
3/25/2022,665.4259,0.6956,156.3727
3/26/2022,250.2436,0.7245,224.8995
3/27/2022,925.0603,0.6922,162.1456
3/28/2022,210.3012,0.5782,155.4811
3/29/2022,374.8645,0.7441,183.5424
3/30/2022,411.0469,0.6625,218.1488
3/31/2022,173.7473,0.7558,120.0704
4/1/2022,476.5547,0.5027,176.1802
4/2/2022,132.2960,0.6247,235.8815
4/3/2022,573.0227,0.6677,193.2865
4/4/2022,663.6284,0.6703,182.4119
4/5/2022,449.6351,0.7725,140.3448
4/6/2022,605.0029,0.5138,138.5244
4/7/2022,539.7165,0.6170,156.4814
4/8/2022,894.3269,0.5636,251.1647
4/9/2022,835.7543,0.6469,176.4945
4/10/2022,290.9574,0.5836,147.4476
4/11/2022,794.8058,0.7520,168.0635
4/12/2022,333.6579,0.7064,160.0421
4/13/2022,380.6405,0.7349,98.7119
4/14/2022,743.8812,0.5935,184.3776
4/15/2022,969.9879,0.6330,220.4873
4/16/2022,661.4091,0.5438,129.2219
4/17/2022,192.6112,0.5697,121.2142
4/18/2022,546.0999,0.6704,224.5506
4/19/2022,578.1191,0.5700,188.8514
4/20/2022,719.2037,0.6336,142.5360
4/21/2022,877.9410,0.6634,168.2297
4/22/2022,939.9422,0.5568,184.2870
4/23/2022,541.7471,0.7156,195.6986
4/24/2022,831.5424,0.5863,214.3776
4/25/2022,647.5704,0.6825,153.0881
4/26/2022,997.2495,0.6981,230.7220
4/27/2022,826.0172,0.7532,178.4489
4/28/2022,607.5022,0.7978,186.1594
4/29/2022,439.6850,0.7997,176.0245
4/30/2022,882.4709,0.6209,163.9400
5/1/2022,532.4043,0.6928,211.6458
5/2/2022,171.5801,0.5310,236.7092
5/3/2022,901.6395,0.6319,180.1512
5/4/2022,922.9865,0.6128,180.4998
5/5/2022,683.5834,0.6816,220.8565
5/6/2022,696.8351,0.5479,156.9455
5/7/2022,760.2647,0.7258,189.7959
5/8/2022,575.1151,0.5007,164.3177
5/9/2022,729.5361,0.5110,169.0888
5/10/2022,859.2198,0.5928,166.1142
5/11/2022,683.5092,0.7733,235.7121
5/12/2022,181.7616,0.6214,161.9425
5/13/2022,165.1967,0.6723,181.4047
5/14/2022,203.6963,0.7435,243.4043
5/15/2022,603.8189,0.5683,192.2200
5/16/2022,662.1352,0.7935,131.3428
5/17/2022,790.8960,0.7432,213.4558
5/18/2022,576.8868,0.6685,170.8855
5/19/2022,389.9757,0.7807,211.9873
5/20/2022,813.0462,0.6940,190.2057
5/21/2022,105.8725,0.6789,192.2280
5/22/2022,601.8000,0.6495,187.9311
5/23/2022,453.5068,0.5080,204.1313
5/24/2022,507.5943,0.7312,161.9328
5/25/2022,387.6265,0.7700,184.8956
5/26/2022,948.8088,0.7348,148.6656
5/27/2022,692.2156,0.7910,177.1711
5/28/2022,423.7066,0.6435,172.9722
5/29/2022,901.9981,0.7788,206.4049
5/30/2022,298.5018,0.6337,215.3654
5/31/2022,486.5999,0.5919,144.5298
6/1/2022,542.1585,0.7543,149.7535
6/2/2022,185.6086,0.5054,159.3715
6/3/2022,624.1352,0.5207,212.4953
6/4/2022,191.0183,0.7799,186.7556
6/5/2022,751.5078,0.7450,164.4368
6/6/2022,753.9539,0.7155,249.3818
6/7/2022,825.3659,0.5699,157.8555
6/8/2022,257.5868,0.6923,199.5033
6/9/2022,637.6087,0.6689,180.8904
6/10/2022,680.9918,0.7928,184.9241
6/11/2022,717.2511,0.6980,115.7310
6/12/2022,583.3494,0.5142,177.9236
6/13/2022,671.6484,0.7741,222.4678
6/14/2022,265.3669,0.7283,214.5927
6/15/2022,987.5130,0.5917,207.5323
6/16/2022,426.0312,0.5318,171.7687
6/17/2022,154.4913,0.6539,152.0056
6/18/2022,240.9751,0.7741,196.7315
6/19/2022,515.5562,0.6941,188.6614
6/20/2022,108.7563,0.6969,186.8641
6/21/2022,159.5920,0.6954,163.8485
6/22/2022,168.5194,0.6155,216.5490
6/23/2022,577.8334,0.7334,205.8359
6/24/2022,520.8989,0.6054,171.6422
6/25/2022,686.5663,0.7347,191.7185
6/26/2022,246.9309,0.6596,190.9117
6/27/2022,762.0090,0.5548,129.2980
6/28/2022,805.7465,0.5450,135.4573
6/29/2022,322.6414,0.7742,197.5903
6/30/2022,333.7374,0.7561,184.7507
7/1/2022,171.3429,0.5523,211.2711
7/2/2022,543.1715,0.7883,215.9149
7/3/2022,460.2753,0.5414,161.3072
7/4/2022,166.7303,0.6448,193.1551
7/5/2022,134.4982,0.6486,168.1539
7/6/2022,940.0473,0.5965,129.7801
7/7/2022,549.6709,0.7655,201.8545
7/8/2022,522.8121,0.5090,148.3409
7/9/2022,610.4531,0.5217,186.8078
7/10/2022,192.1032,0.7245,142.3839
7/11/2022,270.2565,0.6657,163.8018
7/12/2022,926.4176,0.5405,198.1067
7/13/2022,619.7630,0.5628,164.0727
7/14/2022,565.3235,0.6441,237.4183
7/15/2022,237.4597,0.7334,187.6753
7/16/2022,305.5416,0.6324,196.3045
7/17/2022,238.6170,0.5888,176.0747
7/18/2022,651.6162,0.7597,207.7850
7/19/2022,957.3261,0.6648,112.3211
7/20/2022,217.1706,0.5084,144.8432
7/21/2022,831.0529,0.7398,165.3647
7/22/2022,901.3362,0.7857,210.8716
7/23/2022,856.2821,0.5574,180.0562
7/24/2022,659.2349,0.7668,172.8726
7/25/2022,867.4490,0.6269,138.4579
7/26/2022,317.4775,0.5501,133.4151
7/27/2022,452.7062,0.6165,164.1480
7/28/2022,180.0572,0.7035,139.3778
7/29/2022,690.5039,0.7392,140.5614
7/30/2022,454.0210,0.5941,143.5052
7/31/2022,180.5881,0.5190,226.7905
8/1/2022,101.3173,0.6591,245.4182
8/2/2022,374.1932,0.5473,184.9563
8/3/2022,368.0394,0.5812,168.5890
8/4/2022,975.5144,0.7363,203.8019
8/5/2022,339.2773,0.6418,241.0111
8/6/2022,269.6071,0.6248,175.8014
8/7/2022,914.4547,0.5846,130.4663
8/8/2022,168.6681,0.6407,116.2186
8/9/2022,717.7974,0.7502,166.9956
8/10/2022,850.9431,0.6384,171.1693
8/11/2022,303.7327,0.7695,199.4224
8/12/2022,861.4970,0.5773,119.4164
8/13/2022,768.5047,0.5331,208.9280
8/14/2022,712.5806,0.6489,181.7388
8/15/2022,164.6113,0.5726,221.5349
8/16/2022,291.3403,0.6492,157.4032
8/17/2022,976.8864,0.6044,192.4496
8/18/2022,107.9433,0.7043,211.3599
8/19/2022,808.3266,0.6842,128.9282
8/20/2022,808.9652,0.6308,200.4767
8/21/2022,129.8950,0.6308,159.3597
8/22/2022,332.8834,0.6767,221.3506
8/23/2022,170.1072,0.6100,190.6555
8/24/2022,604.1836,0.7161,161.0669
8/25/2022,408.9731,0.7384,206.4853
8/26/2022,539.4430,0.6354,215.8462
8/27/2022,295.9765,0.6669,176.2594
8/28/2022,470.5744,0.6838,122.6535
8/29/2022,843.9597,0.7639,199.9237
8/30/2022,933.6560,0.6226,240.1101
8/31/2022,355.0035,0.6441,190.2474
9/1/2022,361.9084,0.7166,211.5391
9/2/2022,426.1393,0.7069,162.1950
9/3/2022,270.1175,0.7125,173.9202
9/4/2022,588.1921,0.6259,224.6244
9/5/2022,299.0762,0.5054,145.5100
9/6/2022,507.0289,0.5363,138.4558
9/7/2022,384.8617,0.5143,154.8898
9/8/2022,191.2562,0.6068,149.7116
9/9/2022,877.9104,0.7425,203.7643
9/10/2022,148.5443,0.6440,217.6984
9/11/2022,896.7514,0.7189,160.2859
