,Steps,Calories,Active Minutes,Date
0,12420,2123,60,2023-04-20
1,10342,2408,36,2023-04-21
2,8415,2188,33,2023-04-22
3,9399,2293,55,2023-04-23
4,14270,2215,63,2023-04-24
5,9228,1542,100,2023-04-25
6,14641,1551,38,2023-04-26
7,8762,1929,38,2023-04-27
8,10034,1886,75,2023-04-28
9,12730,1524,88,2023-04-29
10,14818,2233,84,2023-04-30
11,9994,1780,91,2023-05-01
12,7397,1814,81,2023-05-02
13,10659,1983,74,2023-05-03
14,8378,2270,38,2023-05-04
15,13568,1747,36,2023-05-05
16,10162,1721,41,2023-05-06
17,12851,1964,107,2023-05-07
18,7393,2457,103,2023-05-08
19,10917,1623,54,2023-05-09
20,14412,2311,30,2023-05-10
21,7494,1609,110,2023-05-11
22,14908,1519,108,2023-05-12
23,6083,1967,94,2023-05-13
24,13448,2391,97,2023-05-14
25,12810,2145,111,2023-05-15
26,12917,2423,35,2023-05-16
27,14635,2084,101,2023-05-17
28,5953,2225,33,2023-05-18
29,5650,2210,73,2023-05-19
30,10982,1825,82,2023-05-20
31,10232,1832,104,2023-05-21
32,14554,1917,34,2023-05-22
33,6540,1748,59,2023-05-23
34,6995,2089,55,2023-05-24
35,5456,1945,63,2023-05-25
36,9524,1540,114,2023-05-26
37,5704,2237,112,2023-05-27
38,10706,2381,117,2023-05-28
39,11325,1548,84,2023-05-29
40,7285,1787,38,2023-05-30
41,5994,1780,100,2023-05-31
42,12573,1753,93,2023-06-01
43,5236,2103,84,2023-06-02
44,10785,1544,119,2023-06-03
45,6999,2478,62,2023-06-04
46,5533,2390,84,2023-06-05
47,14811,2124,33,2023-06-06
48,7285,1647,62,2023-06-07
49,14993,1504,86,2023-06-08
50,11448,2332,52,2023-06-09
51,6513,2449,55,2023-06-10
52,8583,1717,117,2023-06-11
53,9960,2043,57,2023-06-12
54,5456,1899,39,2023-06-13
55,9423,2357,46,2023-06-14
56,7249,1522,45,2023-06-15
