No	Start time	End time	Duration
1	23	6	7
2	18	4	10
3	18	4	10
4	21	7	10
5	22	2	4
6	22	12	14
7	18	11	17
8	17	12	19
9	13	12	23
10	16	10	18
11	16	3	11
12	15	9	18
13	17	12	19
14	21	10	13
15	16	3	11
16	13	9	20
17	14	6	16
18	22	10	12
19	18	6	12
20	19	5	10
21	23	5	6
22	20	7	11
23	12	9	21
24	20	12	16
25	14	3	13
26	14	12	22
27	12	10	22
28	16	4	12
29	19	3	8
30	19	9	14
31	16	6	14
32	13	4	15
33	13	10	21
34	23	8	9
35	15	1	10
36	12	6	18
37	18	1	7
38	15	4	13
39	13	9	20
40	20	1	5
41	18	9	15
42	17	12	19
43	19	6	11
44	21	3	6
45	14	11	21
46	20	11	15
47	16	1	9
48	22	2	4
49	23	11	12
50	12	5	17
51	23	12	13
52	12	6	18
53	19	4	9
54	14	2	12
55	20	5	9
56	21	5	8
57	13	11	22
58	19	5	10
59	17	6	13
60	12	9	21
61	17	2	9
62	12	5	17
63	18	10	16
64	23	7	8
65	13	2	13
66	22	7	9
67	12	5	17
68	18	12	18
69	20	8	12
70	19	7	12
71	12	7	19
72	22	6	8
73	12	5	17
74	20	12	16
75	12	2	14
76	18	3	9
77	19	8	13
78	14	1	11
79	15	4	13
80	21	1	4
81	21	10	13
82	13	2	13
83	23	12	13
84	13	10	21
85	23	8	9
86	21	9	12
87	18	11	17
88	22	12	14
89	13	12	23
90	16	6	14
91	12	1	13
92	22	4	6
93	17	5	12
94	19	4	9
95	21	10	13
96	13	10	21
97	23	1	2
98	18	12	18
99	23	6	7
100	22	5	7
101	22	7	9
102	15	4	13
103	13	2	13
104	21	10	13
105	23	8	9
106	12	6	18
107	12	10	22
108	15	12	21
109	20	8	12
110	12	11	23
111	15	5	14
112	18	6	12
113	16	11	19
114	14	3	13
115	12	1	13
116	19	10	15
117	16	10	18
118	23	2	3
119	15	7	16
120	16	11	19
121	19	9	14
122	12	12	24
123	23	11	12
124	21	10	13
125	13	1	12
126	23	1	2
127	21	12	15
128	15	8	17
129	21	7	10
130	13	8	19
131	19	12	17
132	18	6	12
133	23	5	6
134	22	1	3
135	13	7	18
136	12	9	21
137	21	9	12
138	18	5	11
139	12	10	22
140	16	3	11
141	12	12	24
142	19	12	17
143	18	9	15
144	15	8	17
145	23	1	2
146	22	4	6
147	18	1	7
148	16	5	13
149	14	9	19
150	14	2	12
151	18	3	9
152	16	9	17
153	15	6	15
154	22	4	6
155	16	4	12
156	21	4	7
157	23	11	12
158	21	12	15
159	23	9	10
160	21	1	4
161	19	3	8
162	22	9	11
163	18	4	10
164	19	12	17
165	18	9	15
166	17	5	12
167	20	11	15
168	14	4	14
169	19	1	6
170	14	11	21
171	12	12	24
172	23	12	13
173	23	8	9
174	15	9	18
175	12	2	14
176	16	4	12
177	14	6	16
178	14	1	11
179	18	4	10
180	20	10	14
181	16	4	12
182	18	1	7
183	15	12	21
184	20	2	6
185	23	12	13
186	12	2	14
187	12	7	19
188	14	3	13
189	17	3	10
190	14	12	22
191	16	9	17
192	15	9	18
193	21	10	13
194	16	3	11
195	15	1	10
196	17	12	19
197	23	3	4
198	20	3	7
199	20	7	11
200	14	9	19
201	14	2	12
202	15	9	18
203	18	4	10
204	22	9	11
205	23	11	12
206	23	11	12
207	20	6	10
208	19	10	15
209	19	8	13
210	18	6	12
211	19	6	11
212	21	4	7
213	14	5	15
214	23	12	13
215	23	3	4
216	19	11	16
217	15	1	10
218	22	12	14
219	19	2	7
220	23	4	5
221	21	11	14
222	13	2	13
223	21	10	13
224	20	4	8
225	15	5	14
226	21	5	8
227	16	11	19
228	15	3	12
229	17	10	17
230	17	2	9
231	19	4	9
232	12	12	24
233	21	5	8
234	21	4	7
235	12	2	14
236	19	2	7
237	21	6	9
238	14	12	22
239	17	4	11
240	23	9	10
241	19	9	14
242	23	8	9
243	12	6	18
244	17	2	9
245	16	3	11
246	19	11	16
247	19	10	15
248	14	12	22
249	13	7	18
250	14	10	20
251	15	4	13
252	14	7	17
253	18	11	17
254	19	10	15
255	14	8	18
256	15	4	13
257	21	9	12
258	22	1	3
259	20	7	11
260	21	7	10
261	19	1	6
262	14	1	11
263	15	9	18
264	16	11	19
265	19	7	12
266	23	7	8
267	15	10	19
268	23	11	12
269	12	12	24
270	18	7	13
271	17	8	15
272	14	2	12
273	17	7	14
274	19	3	8
275	23	9	10
276	15	10	19
277	13	5	16
278	19	5	10
279	22	10	12
280	20	10	14
281	20	2	6
282	19	5	10
283	20	4	8
284	14	11	21
285	19	10	15
286	17	8	15
287	15	1	10
288	13	4	15
289	23	3	4
290	15	4	13
291	19	3	8
292	19	11	16
293	21	4	7
294	14	12	22
295	18	7	13
296	16	8	16
297	18	12	18
298	15	12	21
299	19	10	15
300	13	1	12
301	21	11	14
302	21	8	11
303	23	5	6
304	23	3	4
305	20	4	8
306	22	6	8
307	22	5	7
308	17	5	12
309	12	3	15
310	20	7	11
311	13	12	23
312	20	8	12
313	15	3	12
314	14	4	14
315	15	2	11
316	19	2	7
317	13	11	22
318	21	7	10
319	21	10	13
320	21	11	14
321	23	2	3
322	19	7	12
323	16	11	19
324	19	1	6
325	18	4	10
326	16	12	20
327	12	5	17
328	17	10	17
329	18	8	14
330	15	3	12
331	12	11	23
332	15	9	18
333	19	7	12
334	14	3	13
335	13	1	12
336	18	4	10
337	13	8	19
338	21	2	5
339	12	3	15
340	17	9	16
341	21	3	6
342	13	9	20
343	21	2	5
344	16	9	17
345	12	10	22
346	19	8	13
347	13	12	23
348	17	10	17
349	22	2	4
350	16	3	11
351	14	5	15
352	15	5	14
353	16	9	17
354	19	1	6
355	16	4	12
356	20	2	6
357	23	5	6
358	12	1	13
359	19	2	7
360	12	2	14
361	20	2	6
362	15	3	12
363	18	10	16
364	23	3	4
365	22	8	10
366	14	11	21
367	21	6	9
368	12	11	23
369	14	1	11
370	15	6	15
371	12	3	15
372	13	1	12
373	13	9	20
374	16	8	16
375	13	2	13
376	12	9	21
377	22	4	6
378	20	7	11
379	20	10	14
380	18	10	16
381	22	2	4
382	20	12	16
383	12	10	22
384	16	12	20
385	14	4	14
386	16	10	18
387	17	2	9
388	12	11	23
389	23	9	10
390	17	10	17
391	22	10	12
392	13	8	19
393	13	5	16
394	15	6	15
395	14	3	13
396	16	6	14
397	12	5	17
398	22	3	5
399	12	2	14
400	17	2	9
401	20	4	8
402	16	6	14
403	17	9	16
404	16	6	14
405	22	9	11
406	19	1	6
407	18	10	16
408	15	3	12
409	12	6	18
410	22	9	11
411	14	12	22
412	18	2	8
413	12	5	17
414	16	4	12
415	17	11	18
416	18	10	16
417	12	8	20
418	12	2	14
419	14	11	21
420	19	6	11
421	16	7	15
422	22	7	9
423	23	9	10
424	13	8	19
425	12	5	17
426	21	11	14
427	13	8	19
428	21	2	5
429	15	8	17
430	17	1	8
431	17	9	16
432	18	2	8
433	13	4	15
434	19	11	16
435	12	3	15
436	19	10	15
437	17	9	16
438	20	11	15
439	21	2	5
440	21	8	11
441	23	1	2
442	21	12	15
443	12	6	18
444	17	12	19
445	13	6	17
446	18	6	12
447	14	1	11
448	17	2	9
449	15	7	16
450	15	2	11
451	16	1	9
