transportation_data,duration_data,location_data,payment_data
0,Train,146.0,Suburbs,Credit Card
1,Bus,117.0,Rural,Credit Card
2,Car,164.0,Rural,Mobile Payment
3,Train,142.0,Suburbs,Credit Card
4,Plane,195.0,Suburbs,Debit Card
5,Bike,159.0,Suburbs,Cash
6,Car,96.0,Suburbs,Credit Card
7,Bus,192.0,Rural,Credit Card
8,Car,171.0,Rural,Debit Card
9,Plane,113.0,Suburbs,Debit Card
10,Bike,98.0,City,Debit Card
11,Plane,86.0,Rural,Cash
12,Train,56.0,City,Debit Card
13,Bike,105.0,City,Debit Card
14,Car,104.0,Suburbs,Credit Card
15,Plane,43.0,Rural,Debit Card
16,Car,40.0,Suburbs,Mobile Payment
17,Bus,167.0,City,Credit Card
18,Plane,268.0,City,Mobile Payment
19,Bus,155.0,City,Credit Card
20,Plane,202.0,Rural,Credit Card
21,Bus,54.0,City,Debit Card
22,Bus,147.0,Rural,Credit Card
23,Bike,134.0,City,Debit Card
24,Plane,187.0,Rural,Debit Card
25,Train,136.0,Rural,Mobile Payment
26,Car,258.0,City,Credit Card
27,Bus,137.0,City,Credit Card
28,Bike,75.0,Rural,Cash
29,Bus,95.0,Suburbs,Cash
30,Train,1.0,Rural,Debit Card
31,Bus,144.0,Suburbs,Mobile Payment
32,Train,11.0,Rural,Debit Card
33,Plane,91.0,Rural,Mobile Payment
34,Train,171.0,Suburbs,Cash
35,Bike,170.0,Suburbs,Debit Card
36,Car,221.0,Rural,Debit Card
37,Bike,187.0,Rural,Cash
38,Car,140.0,City,Credit Card
39,Bus,205.0,Suburbs,Debit Card
40,Car,157.0,Suburbs,Credit Card
41,Car,84.0,City,Debit Card
42,Car,120.0,Rural,Cash
43,Bike,105.0,Rural,Cash
44,Bus,129.0,Rural,Mobile Payment
45,Plane,85.0,City,Debit Card
46,Car,155.0,City,Cash
47,Plane,85.0,City,Debit Card
48,Car,67.0,City,Credit Card
49,Bus,51.0,Suburbs,Debit Card
50,Train,5.0,Suburbs,Cash
51,Plane,184.0,Suburbs,Mobile Payment
52,Car,143.0,City,Cash
53,Bus,48.0,City,Credit Card
54,Bike,17.0,Rural,Credit Card
55,Bike,144.0,Suburbs,Debit Card
56,Car,149.0,Rural,Credit Card
57,Bike,168.0,City,Cash
58,Car,126.0,Suburbs,Cash
59,Bus,86.0,Rural,Credit Card
60,Bus,128.0,Rural,Credit Card
61,Plane,107.0,City,Mobile Payment
62,Car,140.0,City,Cash
63,Car,149.0,Suburbs,Credit Card
64,Train,139.0,Rural,Mobile Payment
65,Bus,163.0,City,Mobile Payment
66,Bike,117.0,Suburbs,Credit Card
67,Bike,158.0,City,Mobile Payment
68,Train,84.0,City,Debit Card
69,Bike,106.0,City,Mobile Payment
70,Bus,113.0,Rural,Mobile Payment
71,Train,13.0,Suburbs,Credit Card
72,Bus,112.0,City,Mobile Payment
73,Train,81.0,Rural,Debit Card
74,Bus,167.0,Rural,Credit Card
75,Bus,30.0,Rural,Mobile Payment
76,Bike,150.0,City,Debit Card
77,Car,160.0,Rural,Credit Card
78,Bike,153.0,Suburbs,Debit Card
