day,month,temperature
1,1,23.54
2,1,29.21
3,1,23.2
4,1,22.17
5,1,34.16
6,1,24.66
7,1,21.61
8,1,24.76
9,1,24.3
10,1,32.4
11,1,34.1
12,1,25.84
13,1,20.6
14,1,21.44
15,1,29.01
16,1,34.83
17,1,27.66
18,1,24.95
19,1,28.3
20,1,26.43
21,1,21.99
22,1,34.91
23,1,25.05
24,1,29.42
25,1,33.42
26,1,29.92
27,1,24.63
28,1,22.61
29,1,32.19
30,1,31.21
31,2,23.37
32,2,30.98
33,2,24.71
34,2,34.02
35,2,21.87
36,2,22.55
37,2,29.67
38,2,25.53
39,2,32.39
40,2,22.72
41,2,33.46
42,2,24.45
43,2,25.06
44,2,21.32
45,2,22.46
46,2,26.8
47,2,21.87
48,2,21.96
49,2,28.78
50,2,24.86
51,2,31.56
52,2,21.53
53,2,22.1
54,2,32.02
55,2,27.56
56,2,20.4
57,2,26.13
58,2,34.96
59,2,20.61
60,2,26.45
61,3,29.8
62,3,25.38
63,3,25.32
64,3,23.42
65,3,26.04
66,3,34.61
67,3,29.49
68,3,23.32
69,3,27.16
70,3,29.65
71,3,26.32
72,3,26.12
73,3,32.33
74,3,31.8
75,3,29.18
76,3,22.35
77,3,29.05
78,3,31.95
79,3,31.62
80,3,20.12
81,3,22.83
82,3,32.67
83,3,31.82
84,3,31.74
85,3,34.11
86,3,24.52
87,3,32.35
88,3,21.13
89,3,20.56
90,3,34.12
91,4,21.72
92,4,22.05
93,4,25.95
94,4,34.92
95,4,25.13
96,4,31.47
97,4,20.13
98,4,30.27
99,4,20.11
100,4,26.23
101,4,26.31
102,4,27
103,4,32.8
104,4,26.94
105,4,22.04
106,4,34.81
107,4,31.96
108,4,32.59
109,4,26.78
110,4,29.92
111,4,28.6
112,4,21.35
113,4,26.91
114,4,31.19
115,4,22.88
116,4,27.21
117,4,26.54
118,4,21.58
119,4,27.79
120,4,33.94
121,5,33.78
122,5,20.14
123,5,22.6
124,5,24.58
125,5,33.01
126,5,32.73
127,5,25.09
128,5,20.57
129,5,32.85
130,5,33.92
131,5,24.8
132,5,32.55
133,5,31.58
134,5,20.2
135,5,31.87
136,5,21.65
137,5,29.68
138,5,22.4
139,5,34.43
140,5,25.57
141,5,21.44
142,5,21.82
143,5,34.26
144,5,20.85
145,5,33.45
146,5,23.02
147,5,23.33
148,5,34.4
149,5,27.68
150,5,21.59
151,6,24.28
152,6,26.24
153,6,26.33
154,6,23.48
155,6,24.66
156,6,21.22
157,6,28.29
158,6,23
159,6,25.69
160,6,34.18
161,6,33.49
162,6,33.65
163,6,25.83
164,6,29.35
165,6,23.41
166,6,34.02
167,6,33.06
168,6,23.5
169,6,23.59
170,6,33.1
171,6,21.07
172,6,25.14
173,6,26.5
174,6,31.09
175,6,28.99
176,6,22.69
177,6,23.84
178,6,22.87
179,6,29.75
180,6,21.02
181,6,33.68
182,7,20.59
183,7,32.94
184,7,20.5
185,7,25.51
186,7,22.73
187,7,29.12
188,7,26.47
189,7,21.73
190,7,22.36
191,7,27.52
192,7,33.36
193,7,25.86
194,7,21.88
195,7,30.23
196,7,27.87
197,7,31.35
198,7,22.9
199,7,31.92
200,7,25.83
201,7,21.65
202,7,30.01
203,7,32.48
204,7,33.77
205,7,27.28
206,7,34.65
207,7,33.61
208,7,25.12
209,7,21.44
210,7,30.15
211,7,30.43
212,7,21.92
213,7,34.74
214,7,25.39
215,7,24.75
216,7,23.82
217,7,23.09
218,7,30.34
219,7,26.9
220,7,21.06
221,8,32.43
222,8,33.8
223,8,31.19
224,8,27.98
225,8,28.15
226,8,21.8
227,8,25.71
228,8,30.03
229,8,26.57
230,8,25.58
231,8,21.24
232,8,26.51
233,8,21.46
234,8,21.46
235,8,22.83
236,8,27.98
237,8,22.49
238,8,24.95
239,8,33.39
240,8,26.97
241,8,28.26
242,8,24.22
243,8,26.39
244,8,22.64
245,8,20.21
246,8,21.51
247,8,22.4
248,8,34.53
249,8,22.62
250,8,34.27
251,9,24.33
252,9,22.55
253,9,21.91
254,9,29.95
255,9,22.28
256,9,24.49
257,9,25.99
258,9,20.54
259,9,29.15
260,9,30.25
261,9,26.26
262,9,26.84
263,9,33.18
264,9,27.84
265,9,30.17
266,9,34.2
267,9,24.06
268,9,25.59
269,9,25.53
270,9,24.58
271,9,27.47
272,9,23.95
273,9,30.79
274,9,30.58
275,9,34.96
276,9,27.63
277,9,24.39
278,9,23.04
279,9,24.83
280,9,34.66
281,10,28.08
282,10,28.82
283,10,26.1
284,10,28.53
285,10,28.9
286,10,28.67
287,10,32.96
288,10,22.31
289,10,33.26
290,10,21.95
291,10,28.25
292,10,21.62
293,10,27.59
294,10,24.8
295,10,30.13
296,10,21.91
297,10,21.27
298,10,21.14
299,10,20.62
300,10,20.06
301,10,22.28
302,10,26.38
303,10,22.72
304,10,32.22
305,10,21.41
306,10,27.22
307,10,31.37
308,10,25.37
309,10,34
310,10,27.44
311,11,23.23
312,11,32.3
313,11,26.72
314,11,27.04
315,11,23.52
316,11,21.27
317,11,20.12
318,11,24.13
319,11,34.19
320,11,27.36
321,11,29.41
322,11,31.37
323,11,25.37
324,11,27.37
325,11,34.76
326,11,32.96
327,11,21.75
328,11,22.64
329,11,24.21
330,11,33.2
331,11,34.47
332,12,32.98
333,12,29.12
334,12,34.24
335,12,26.14
336,12,21.29
337,12,20.81
338,12,31.98
339,12,27.62
340,12,34.72
341,12,20.13
342,12,31.26
343,12,28.58
344,12,34.31
345,12,21.34
346,12,25.77
347,12,26.91
348,12,24.41
349,12,24.77
350,12,21.64
351,12,31.47
352,12,24.97
353,12,20.23
354,12,26.26
355,12,20.7
356,12,26.53
357,12,29.13
358,12,24.99
359,12,30.46
360,12,34.33
361,12,34.64
362,12,32.67
363,12,26.15
364,12,25.61
