day,month,expense($),income($),net income($)
1,1,183.150,128.145,299.180
2,1,29.321,129.100,118.949
3,1,98.637,39.991,95.629
4,1,183.082,116.102,241.601
5,1,245.060,24.302,288.121
6,1,80.751,6.548,180.845
7,1,172.409,95.563,94.301
8,1,105.101,193.431,26.274
9,1,123.384,6.975,150.363
10,1,243.457,35.041,81.171
11,1,7.046,99.188,222.021
12,1,226.902,34.989,270.066
13,1,173.931,89.143,119.498
14,1,281.040,91.333,233.278
15,1,159.029,136.271,114.995
16,1,210.184,90.122,115.235
17,1,68.374,273.934,244.013
18,1,16.958,58.077,71.395
19,1,134.817,14.387,55.659
20,1,49.821,289.116,115.341
21,1,154.408,95.912,145.148
22,1,200.977,299.706,170.258
23,1,141.309,123.865,43.691
24,1,5.171,20.946,114.181
25,1,72.881,160.941,191.683
26,1,103.408,76.601,196.257
27,1,188.813,210.889,119.287
28,1,268.579,166.046,22.275
29,1,59.893,237.219,11.852
30,1,36.907,158.948,136.122
31,2,4.215,206.826,160.448
32,2,229.813,35.479,281.252
33,2,47.378,144.129,154.614
34,2,17.006,92.112,193.154
35,2,114.073,148.723,44.137
36,2,150.532,143.567,124.436
37,2,295.982,179.857,34.557
38,2,289.782,102.029,74.485
39,2,299.255,209.771,198.156
40,2,210.235,283.447,278.257
41,2,236.989,212.583,157.666
42,2,266.897,103.761,31.350
43,2,225.931,72.453,257.025
44,2,132.530,265.975,152.895
45,2,134.853,240.198,79.905
46,2,16.899,11.675,9.617
47,2,137.124,105.294,277.645
48,2,237.252,41.391,65.424
49,2,149.359,95.832,206.974
50,2,100.695,210.130,271.789
51,2,111.583,282.646,183.900
52,2,145.437,18.607,213.567
53,2,139.573,102.763,56.757
54,2,268.396,133.030,113.146
55,2,275.876,248.639,84.750
56,2,128.748,75.485,102.468
57,2,172.103,163.874,149.265
58,2,269.647,270.647,68.356
59,2,122.483,263.841,24.269
60,2,101.313,99.072,54.416
61,3,127.333,268.481,151.811
62,3,27.062,101.163,254.528
63,3,73.695,211.894,99.632
64,3,79.186,209.246,256.022
65,3,254.842,163.224,160.630
66,3,91.438,79.530,137.411
67,3,111.535,67.998,276.078
68,3,4.531,264.284,189.652
69,3,271.591,130.285,198.662
70,3,22.502,179.459,255.407
71,3,75.734,230.174,195.425
72,3,192.408,156.267,175.821
73,3,286.161,259.674,207.412
74,3,286.299,220.371,159.737
75,3,58.618,81.462,83.739
76,3,12.134,130.754,202.302
77,3,15.106,144.504,155.636
78,3,89.216,13.749,203.559
79,3,2.382,251.769,61.515
80,3,3.302,289.353,5.524
81,3,140.959,91.298,176.684
82,3,20.725,216.509,121.117
83,3,84.233,60.015,290.507
84,3,133.226,187.619,204.174
85,3,105.089,34.070,48.339
86,3,171.063,13.817,210.517
87,3,97.774,247.506,108.761
88,3,11.175,36.672,203.158
89,3,32.016,277.511,219.835
90,3,168.329,234.218,235.121
91,4,82.413,265.548,80.818
92,4,56.141,247.589,74.157
93,4,6.084,60.001,39.157
94,4,252.828,245.719,31.269
95,4,39.551,80.089,147.657
96,4,154.454,113.763,268.079
97,4,74.191,99.028,50.945
98,4,235.015,41.807,44.103
99,4,134.035,289.057,53.677
100,4,210.694,216.784,234.754
101,4,19.289,28.668,278.191
102,4,286.568,277.545,61.236
103,4,217.268,271.514,132.427
104,4,248.675,46.822,106.123
105,4,41.971,251.608,196.086
106,4,77.581,70.300,131.058
107,4,189.539,165.343,110.987
108,4,34.341,173.111,62.449
109,4,124.506,257.778,149.973
110,4,207.758,291.519,295.992
111,4,229.727,296.013,207.869
112,4,287.318,56.318,254.826
113,4,107.723,163.629,83.979
114,4,282.620,6.808,116.014
115,4,190.540,4.694,295.568
116,4,122.812,172.332,192.557
117,4,269.730,182.644,249.548
118,4,89.839,218.562,103.377
119,4,97.139,123.180,271.600
120,4,255.558,152.831,24.841
121,5,140.617,81.572,255.550
122,5,145.554,271.450,283.824
123,5,27.169,292.441,256.448
124,5,39.978,24.621,194.954
125,5,197.066,101.223,100.526
126,5,182.381,1.820,144.148
127,5,101.974,243.161,260.766
128,5,16.325,275.034,167.232
129,5,125.912,256.134,76.117
130,5,22.934,130.748,197.314
131,5,141.936,282.208,270.919
132,5,78.177,37.085,84.525
133,5,298.483,266.520,259.110
134,5,226.842,103.738,222.192
135,5,121.527,55.206,262.693
136,5,154.629,227.023,276.044
137,5,85.318,182.736,90.216
138,5,265.694,53.492,250.895
139,5,.185,264.936,190.368
140,5,231.972,125.635,243.147
141,5,149.418,226.593,124.486
142,5,173.374,92.821,188.154
143,5,193.990,168.347,191.921
144,5,250.947,203.238,158.722
145,5,102.055,172.922,.683
146,5,102.913,208.601,158.573
147,5,123.102,214.045,46.960
148,5,133.055,264.523,33.757
149,5,48.235,47.268,78.221
150,5,184.652,7.146,82.669
151,6,278.113,46.978,13.488
152,6,127.970,111.630,251.045
153,6,63.971,185.285,15.623
154,6,66.649,228.234,111.061
155,6,123.999,8.767,246.917
156,6,14.740,154.141,15.021
157,6,8.518,106.176,111.977
158,6,110.906,80.422,226.736
159,6,203.987,38.956,271.566
160,6,48.243,80.520,244.744
161,6,200.472,238.186,6.564
162,6,201.531,245.504,54.887
163,6,109.702,105.251,64.470
164,6,268.706,24.396,102.511
165,6,118.498,226.295,192.291
166,6,268.338,279.716,279.684
167,6,24.886,164.513,110.131
168,6,198.561,288.760,137.236
169,6,172.348,132.462,76.483
170,6,18.954,47.962,242.116
171,6,26.406,5.524,8.131
