id,course,score,gpa
0,History,63,3.0950
1,History,100,2.2201
2,Math,67,2.9690
3,Science,88,2.6420
4,English,97,3.1612
5,Science,95,3.1914
6,English,94,2.7486
7,Math,78,3.9010
8,Math,97,3.9777
9,Science,82,3.1888
10,History,98,2.3375
11,English,75,3.2652
12,Math,80,3.4210
13,Math,94,3.9969
14,Math,98,3.7125
15,History,98,2.0321
16,History,61,3.5452
17,English,89,3.3607
18,History,100,3.3505
19,English,72,2.3431
20,Math,81,2.2014
21,Science,71,3.7718
22,History,81,3.7050
23,History,64,3.2926
24,Science,94,3.6174
25,History,100,3.4727
26,Math,85,2.2798
27,Science,60,2.7459
28,Math,92,2.5180
29,History,92,2.2023
30,Math,68,2.4886
31,Math,79,2.1794
32,Science,100,2.9481
33,Math,92,2.1123
34,Science,98,3.5537
35,English,85,3.8104
36,Science,94,2.0220
37,Science,87,3.7647
38,History,72,2.7452
39,History,62,3.0706
40,Science,70,2.7832
41,English,64,3.3972
42,History,77,3.0248
43,Science,72,3.3834
44,Math,93,2.2216
45,English,82,2.9464
46,History,93,3.3597
47,Math,80,2.4585
48,Science,76,2.4705
49,History,68,3.6099
50,Math,61,2.7390
51,Science,100,2.9632
52,Math,70,3.5326
53,Math,72,3.1775
54,Math,79,3.0396
55,Math,62,2.4276
56,History,65,3.0177
57,Science,64,2.6460
58,Math,92,3.3562
59,English,75,3.6742
60,Science,89,2.0838
61,Science,95,3.1593
62,Math,74,3.7377
63,History,66,2.6871
64,Math,88,3.5148
65,Science,75,2.9896
66,Science,99,3.1731
67,English,71,3.9978
68,Science,69,3.0223
69,Science,86,2.9054
70,History,83,2.5822
71,English,93,2.9806
72,History,100,2.2609
73,Science,61,2.3696
74,English,75,3.5207
75,Science,100,2.4594
76,History,73,2.6103
77,English,95,2.2289
78,Math,84,2.9894
79,History,95,3.5007
80,English,64,3.4152
81,History,99,2.9852
82,Science,71,2.3538
83,History,84,3.8307
84,Science,74,3.6694
85,English,95,3.5254
86,History,69,2.1106
87,Math,81,2.8871
88,English,99,3.2912
89,English,73,2.7100
90,Science,88,2.8913
91,History,99,3.4929
92,Science,68,2.5626
93,History,67,3.6265
94,Science,78,3.7073
95,History,78,2.2810
96,English,87,3.8592
97,History,60,3.8699
98,Science,86,2.6746
99,Math,60,3.0046
100,Science,80,2.7444
101,English,74,2.9032
102,English,65,3.2271
103,Science,84,2.7998
104,History,83,2.8137
105,Science,67,2.2686
106,Math,68,3.6173
107,Math,99,3.0364
108,Math,88,2.5519
109,Science,96,2.6090
110,Science,81,2.0859
111,Science,86,2.6950
112,Science,70,2.5492
113,History,96,3.2980
114,History,76,2.6934
115,English,63,2.8053
116,English,85,3.5368
117,English,69,3.5619
118,History,79,2.8040
119,English,78,3.3418
120,Science,84,2.5129
121,English,99,2.0714
122,Math,98,2.1623
123,Math,81,2.2764
124,Science,70,2.5220
125,Science,71,2.5953
126,History,97,2.4535
127,English,90,3.1335
