id,artist,gense,time_listening(s)
0,Nirvana,Hip Hop,557
1,Coldplay,Hip Hop,2113
2,Coldplay,R&B,3421
3,Guns N' Roses,Alternative,1832
4,Rihanna,Electronic,1671
5,Taylor Swift,Electronic,482
6,Kendrick Lamar,Alternative,2157
7,Zara Larsson,R&B,1091
8,The Weeknd,Electronic,2947
9,Beyoncé,Hip Hop,340
10,Adele,Electronic,2589
11,Rihanna,R&B,531
12,Post Malone,Alternative,1549
13,John Mayer,Electronic,859
14,Adele,R&B,721
15,Oasis,R&B,381
16,Adele,Hip Hop,1859
17,Post Malone,Hip Hop,351
18,Zara Larsson,Alternative,224
19,Taylor Swift,Rock,1098
20,Oasis,Alternative,2404
21,Ed Sheeran,Pop,2191
22,Adele,Rock,1782
23,Queen,Electronic,3373
24,Ed Sheeran,Pop,1282
25,Rihanna,Alternative,1964
26,X Ambassadors,Alternative,1919
27,Drake,Hip Hop,3118
28,Coldplay,Pop,22
29,U2,Electronic,1048
30,Hozier,Alternative,1705
31,Coldplay,Alternative,2476
32,U2,Electronic,1692
33,Post Malone,Alternative,3517
34,Young Thug,R&B,1454
35,Queen,Pop,399
36,Hozier,Alternative,969
37,John Mayer,Indie,1018
38,Drake,Electronic,3179
39,U2,Indie,1222
40,Guns N' Roses,Alternative,2932
41,Beyoncé,Rock,554
42,Vampire Weekend,R&B,986
43,The Weeknd,Pop,2498
44,Coldplay,R&B,1132
45,Beyoncé,R&B,740
46,Miley Cyrus,Hip Hop,2493
47,Imagine Dragons,R&B,2353
48,Drake,Rock,21
49,Kendrick Lamar,Indie,2842
50,Fleetwood Mac,Pop,2785
51,Adele,Hip Hop,500
52,Lana Del Rey,Indie,1911
53,Coldplay,Alternative,779
54,Kendrick Lamar,Alternative,3237
55,The Weeknd,Hip Hop,3314
56,Nirvana,Pop,3508
57,Shawn Mendes,Hip Hop,3220
58,Ed Sheeran,Hip Hop,2598
59,Post Malone,Rock,1941
60,Lana Del Rey,Alternative,1746
61,Miley Cyrus,Alternative,1005
62,U2,Indie,3240
63,Guns N' Roses,Rock,446
64,Nirvana,Alternative,1586
65,Taylor Swift,Rock,2417
66,Queen,Pop,723
67,Guns N' Roses,Rock,818
68,Oasis,Alternative,3021
69,U2,R&B,3278
70,Hozier,Hip Hop,389
71,Lana Del Rey,Pop,917
72,The Weeknd,R&B,2153
73,Hozier,Pop,2934
74,Beyoncé,Alternative,1849
75,Lana Del Rey,Electronic,2569
76,Fleetwood Mac,R&B,3432
77,X Ambassadors,Rock,1885
78,Zara Larsson,R&B,581
79,Shawn Mendes,Hip Hop,1759
80,U2,Alternative,57
81,Young Thug,Pop,2346
82,Rihanna,Pop,1712
