A,B
356,626
741,45
867,645
808,736
112,664
195,308
166,35
561,540
741,250
649,387
175,813
494,490
29,221
391,301
173,713
877,792
164,43
561,600
621,111
956,597
544,265
654,62
393,934
243,429
190,239
220,232
895,266
137,840
544,968
77,175
793,442
789,935
292,515
913,992
525,815
897,507
531,44
798,626
853,860
120,252
503,450
198,948
439,495
294,73
951,339
368,147
504,943
245,535
847,446
20,61
562,858
232,808
379,193
16,219
554,48
825,338
185,237
377,601
86,195
108,858
879,693
184,430
350,893
617,871
706,55
169,524
9,603
792,891
730,579
719,811
998,24
347,90
652,110
891,504
911,321
969,564
589,503
708,362
919,117
15,357
469,838
500,91
362,68
248,397
819,988
63,353
361,568
755,192
7,279
556,300
687,731
597,846
220,6
807,338
369,523
79,45
872,977
18,760
995,147
932,880
549,301
351,285
269,808
87,316
1,276
834,983
230,295
145,200
26,735
364,344
656,603
662,602
411,577
244,899
933,645
196,59
456,28
660,382
924,657
500,684
207,831
238,500
323,441
105,372
423,655
562,130
128,438
58,973
399,849
266,587
963,875
937,276
992,449
19,432
747,565
464,671
351,650
530,485
356,564
319,528
975,272
157,342
342,325
641,220
599,640
7,45
898,996
276,269
366,229
420,190
514,866
620,812
509,862
284,976
360,474
390,624
452,912
298,420
423,232
803,561
637,912
978,747
450,400
933,562
275,737
340,504
819,928
180,911
155,249
785,201
44,313
714,650
905,331
413,535
362,300
323,527
36,858
624,813
898,35
81,809
618,315
347,462
765,23
216,436
217,885
892,465
634,146
461,997
290,546
438,18
609,129
462,130
929,968
346,864
779,515
223,906
341,870
408,984
252,91
730,255
770,924
624,53
695,654
595,159
907,67
346,543
577,219
696,318
226,811
99,627
261,240
347,968
63,688
911,66
8,907
706,623
434,741
487,770
915,997
888,715
281,34
209,983
408,575
871,393
125,512
93,547
38,647
285,595
457,175
836,778
692,747
117,800
309,820
513,492
876,818
182,543
467,862
196,56
183,40
821,317
604,122
32,854
385,549
847,611
740,729
674,121
524,892
64,839
247,160
912,798
908,207
401,495
779,184
251,951
782,546
875,4
767,449
805,855
303,250
83,514
449,329
388,905
715,760
317,421
839,332
522,687
247,94
228,944
843,447
27,385
525,706
151,27
195,874
381,293
4,710
288,209
196,354
299,572
6,90
533,387
453,104
353,133
11,51
391,27
869,956
494,141
358,449
789,209
73,728
728,662
717,677
388,556
497,665
315,514
220,364
681,562
62,248
29,637
947,15
704,472
955,808
464,282
222,272
190,406
908,918
166,377
257,291
152,856
545,556
931,141
577,592
870,641
807,858
471,246
94,922
209,79
844,508
141,321
581,960
89,409
361,950
816,569
936,971
560,20
378,646
328,778
538,131
121,232
220,663
509,536
739,329
449,556
54,172
41,500
696,624
565,882
485,821
482,590
935,491
849,618
991,890
656,206
884,704
909,195
966,867
0,619
578,611
382,536
697,197
749,455
364,245
176,830
315,747
748,686
325,980
301,724
531,474
793,375
134,991
565,491
999,844
850,187
206,904
23,396
287,130
498,942
414,989
764,351
169,673
544,909
599,694
308,552
912,529
326,220
334,252
855,570
571,152
725,548
9,784
580,901
806,221
583,294
11,955
539,545
11,852
382,666
281,265
84,394
323,758
593,651
45,250
352,220
728,113
134,191
165,166
445,993
963,744
404,766
224,305
76,868
625,983
551,508
544,901
500,275
343,613
569,22
11,943
101,999
981,387
763,501
684,601
402,819
488,123
299,736
469,94
566,507
989,763
311,231
491,714
497,477
193,462
853,623
780,956
915,533
675,565
691,978
912,816
255,620
682,128
342,466
578,710
27,995
662,592
353,346
796,789
667,70
578,392
673,691
284,561
228,162
826,342
941,505
198,341
429,806
493,769
795,241
537,620
721,548
434,860
944,386
870,527
407,165
806,734
27,152
259,416
694,483
113,624
725,616
218,261
617,163
800,817
783,182
337,677
167,38
755,405
463,383
645,790
841,15
465,235
403,573
77,752
274,773
971,873
446,154
633,501
212,868
410,894
390,587
865,803
890,352
132,628
700,845
486,356
3,115
981,995
427,337
627,31
300,375
719,344
407,655
724,488
74,486
306,233
480,300
726,477
347,4
738,775
625,405
477,607
379,820
734,432
975,981
646,623
952,284
629,159
477,723
874,452
753,778
849,907
921,401
609,740
345,671
566,134
37,764
486,981
206,929
3,463
966,172
525,323
257,24
354,173
16,661
902,899
168,305
582,967
591,655
968,874
294,957
395,62
377,101
139,753
319,27
737,378
552,734
843,484
252,498
531,257
483,301
81,970
39,56
450,288
879,108
432,619
719,166
62,211
677,340
478,416
455,710
676,176
337,921
164,160
431,357
219,525
809,797
709,889
878,139
157,502
554,178
702,715
891,311
202,851
748,916
832,792
994,677
891,415
921,551
44,36
253,525
8,747
827,23
722,680
866,279
937,547
135,362
487,347
455,968
44,727
679,33
655,251
724,190
280,995
322,2
400,174
890,721
613,784
275,320
444,894
751,556
341,425
180,821
240,432
788,663
871,93
325,848
127,490
587,339
283,521
520,236
53,815
715,87
488,148
563,620
791,931
339,341
956,716
998,152
124,65
693,30
246,3
417,249
971,572
636,786
658,723
552,541
778,356
551,92
150,954
16,72
633,150
268,632
227,478
343,468
189,564
348,892
351,305
457,216
256,659
843,518
997,520
614,920
859,267
618,693
160,931
390,773
389,360
677,592
603,947
765,444
880,82
448,902
478,636
287,102
589,467
702,122
875,393
960,897
921,305
533,42
158,406
397,552
852,478
548,522
204,127
730,889
613,124
424,448
746,667
769,770
387,378
3,865
441,159
795,580
733,51
81,176
940,724
572,654
146,227
168,52
717,574
736,533
720,715
694,550
401,152
862,706
552,864
772,123
539,153
359,137
328,929
694,886
52,198
864,410
305,314
767,167
756,679
135,824
751,908
278,815
144,217
858,604
502,429
615,492
94,219
446,51
171,111
489,933
162,431
983,224
150,984
242,179
898,337
706,5
917,168
923,758
353,940
86,788
342,326
680,542
630,623
609,40
974,366
67,443
580,430
479,250
51,267
146,884
741,34
42,887
897,561
262,878
453,339
867,788
258,285
864,877
948,576
756,777
220,240
584,654
416,173
328,783
788,316
819,819
65,748
814,101
338,359
530,181
883,278
654,262
83,504
596,963
976,96
230,119
242,780
217,723
671,573
857,99
752,45
21,127
849,120
193,71
773,879
226,722
80,620
753,368
140,884
860,743
506,87
68,572
488,815
893,782
673,324
790,820
361,370
84,16
232,343
997,626
27,918
50,264
393,272
991,758
908,191
194,631
848,239
164,833
956,361
761,230
992,555
285,194
820,969
43,240
911,308
348,57
754,311
733,447
553,663
329,312
807,114
391,266
730,758
613,1
828,372
262,136
176,693
40,251
441,493
578,982
17,348
954,938
683,694
983,255
517,260
645,191
334,80
31,985
243,539
515,900
71,747
577,445
981,694
466,994
299,850
534,133
927,720
265,198
484,285
28,722
326,28
158,950
277,969
609,581
661,946
374,346
50,663
130,680
912,263
53,836
399,604
486,731
332,224
987,999
121,696
980,143
820,521
403,508
634,441
588,602
242,923
777,672
923,913
660,428
173,352
943,444
16,261
280,168
499,647
389,190
117,780
748,549
882,911
54,154
544,55
47,405
914,434
360,7
52,267
122,266
931,663
964,226
472,584
709,833
204,943
312,350
632,138
614,901
930,771
415,161
798,936
552,57
373,40
860,350
906,312
944,937
685,807
145,712
122,621
974,890
297,939
744,855
235,768
135,850
914,989
684,12
832,870
144,210
193,775
407,983
468,532
568,627
285,129
884,493
458,931
420,223
571,280
681,119
671,697
364,552
482,270
16,467
178,112
655,459
642,509
436,470
979,324
633,569
144,67
796,470
290,155
105,335
886,817
830,726
364,934
722,219
556,241
575,698
384,111
476,541
543,254
990,607
673,151
569,618
509,101
955,85
107,948
623,824
850,838
609,151
124,226
819,414
454,888
248,799
615,933
466,557
691,884
72,301
531,640
565,235
554,760
260,370
990,356
30,423
881,883
182,697
159,808
627,581
716,762
349,142
188,786
259,590
388,985
901,258
830,829
923,370
636,373
830,291
355,401
532,438
124,230
653,48
696,392
415,758
445,388
509,598
231,609
122,599
6,26
382,741
479,813
897,981
724,417
711,121
560,346
252,175
936,71
922,972
112,750
47,127
630,594
932,717
9,168
872,851
644,190
261,529
850,856
634,469
297,19
159,615
624,421
486,225
290,987
367,371
783,922
23,9
206,510
723,773
904,756
361,253
922,782
372,182
31,918
978,288
